Début du scan avec comme paramètres : 
Protocole : UDP		 Nom d'hôte : 127.0.0.1
Port 1211		Ouvert
Port 244		Ouvert
Port 1221		Ouvert
Port 892		Ouvert
Port 872		Ouvert
Port 902		Ouvert
Port 1231		Ouvert
Port 1241		Ouvert
Port 1251		Ouvert
Port 662		Ouvert
Port 1281		Ouvert
Port 1271		Ouvert
Port 1261		Ouvert
Port 912		Ouvert
Port 1291		Ouvert
Port 463		Ouvert
Port 253		Ouvert
Port 922		Ouvert
Port 932		Ouvert
Port 1301		Ouvert
Port 1311		Ouvert
Port 1321		Ouvert
Port 66		Ouvert
Port 1331		Ouvert
Port 673		Ouvert
Port 1341		Ouvert
Port 942		Ouvert
Port 1351		Ouvert
Port 1361		Ouvert
Port 19		Ouvert
Port 523		Ouvert
Port 264		Ouvert
Port 402		Ouvert
Port 1371		Ouvert
Port 712		Ouvert
Port 1391		Ouvert
Port 1411		Ouvert
Port 1401		Ouvert
Port 553		Ouvert
Port 1381		Ouvert
Port 703		Ouvert
Port 543		Ouvert
Port 583		Ouvert
Port 355		Ouvert
Port 1421		Ouvert
Port 972		Ouvert
Port 382		Ouvert
Port 1431		Ouvert
Port 1441		Ouvert
Port 1451		Ouvert
Port 374		Ouvert
Port 1461		Ouvert
Port 992		Ouvert
Port 772		Ouvert
Port 95		Ouvert
Port 602		Ouvert
Port 1471		Ouvert
Port 1481		Ouvert
Port 125		Ouvert
Port 564		Ouvert
Port 274		Ouvert
Port 1511		Ouvert
Port 1491		Ouvert
Port 1501		Ouvert
Port 215		Ouvert
Port 782		Ouvert
Port 1541		Ouvert
Port 1551		Ouvert
Port 1521		Ouvert
Port 1531		Ouvert
Port 105		Ouvert
Port 802		Ouvert
Port 144		Ouvert
Port 1561		Ouvert
Port 1571		Ouvert
Port 1581		Ouvert
Port 1052		Ouvert
Port 1062		Ouvert
Port 1042		Ouvert
Port 1601		Ouvert
Port 167		Ouvert
Port 1591		Ouvert
Port 293		Ouvert
Port 235		Ouvert
Port 1082		Ouvert
Port 1611		Ouvert
Port 1621		Ouvert
Port 823		Ouvert
Port 1631		Ouvert
Port 842		Ouvert
Port 304		Ouvert
Port 1641		Ouvert
Port 1651		Ouvert
Port 832		Ouvert
Port 1661		Ouvert
Port 1671		Ouvert
Port 86		Ouvert
Port 1681		Ouvert
Port 1122		Ouvert
Port 424		Ouvert
Port 1701		Ouvert
Port 1691		Ouvert
Port 1711		Ouvert
Port 286		Ouvert
Port 1721		Ouvert
Port 1751		Ouvert
Port 1741		Ouvert
Port 1731		Ouvert
Port 853		Ouvert
Port 634		Ouvert
Port 54		Ouvert
Port 1771		Ouvert
Port 315		Ouvert
Port 1801		Ouvert
Port 1761		Ouvert
Port 1781		Ouvert
Port 1791		Ouvert
Port 863		Ouvert
Port 1811		Ouvert
Port 1821		Ouvert
Port 453		Ouvert
Port 1851		Ouvert
Port 1841		Ouvert
Port 1831		Ouvert
Port 1871		Ouvert
Port 1192		Ouvert
Port 1861		Ouvert
Port 1202		Ouvert
Port 1891		Ouvert
Port 245		Ouvert
Port 1881		Ouvert
Port 653		Ouvert
Port 75		Ouvert
Port 893		Ouvert
Port 10		Ouvert
Port 1911		Ouvert
Port 1252		Ouvert
Port 1232		Ouvert
Port 1921		Ouvert
Port 1901		Ouvert
Port 1941		Ouvert
Port 1931		Ouvert
Port 1282		Ouvert
Port 663		Ouvert
Port 1961		Ouvert
Port 1971		Ouvert
Port 1951		Ouvert
Port 1981		Ouvert
Port 913		Ouvert
Port 1991		Ouvert
Port 1272		Ouvert
Port 2001		Ouvert
Port 1292		Ouvert
Port 464		Ouvert
Port 2011		Ouvert
Port 2021		Ouvert
Port 254		Ouvert
Port 682		Ouvert
Port 2031		Ouvert
Port 493		Ouvert
Port 1302		Ouvert
Port 67		Ouvert
Port 693		Ouvert
Port 1332		Ouvert
Port 2041		Ouvert
Port 2051		Ouvert
Port 503		Ouvert
Port 2071		Ouvert
Port 1362		Ouvert
Port 265		Ouvert
Port 2061		Ouvert
Port 2081		Ouvert
Port 943		Ouvert
Port 533		Ouvert
Port 2091		Ouvert
Port 2111		Ouvert
Port 732		Ouvert
Port 2101		Ouvert
Port 1372		Ouvert
Port 2121		Ouvert
Port 2131		Ouvert
