Début du scan avec comme paramètres :  

Protocole : TCP		 Nom d'hôte : boobagump.fr
Port de début : 1		 Timeout Max. socket : 2
Port de fin : 2000		 Execution parallèle : 200 threads

2023-04-12 16:02:47.886096	Port	TCP	121	Fermé
2023-04-12 16:02:47.886164	Port	TCP	21	Fermé
2023-04-12 16:02:47.886663	Port	TCP	71	Fermé
2023-04-12 16:02:47.886698	Port	TCP	91	Fermé
2023-04-12 16:02:47.886731	Port	TCP	31	Fermé
2023-04-12 16:02:47.886796	Port	TCP	51	Fermé
2023-04-12 16:02:47.886847	Port	TCP	111	Fermé
2023-04-12 16:02:47.886889	Port	TCP	11	Fermé
2023-04-12 16:02:47.886934	Port	TCP	201	Fermé
2023-04-12 16:02:47.886975	Port	TCP	141	Fermé
2023-04-12 16:02:47.887006	Port	TCP	281	Fermé
2023-04-12 16:02:47.887028	Port	TCP	131	Fermé
2023-04-12 16:02:47.887062	Port	TCP	41	Fermé
2023-04-12 16:02:47.887078	Port	TCP	151	Fermé
2023-04-12 16:02:47.887094	Port	TCP	1	Fermé
2023-04-12 16:02:47.887147	Port	TCP	81	Fermé
2023-04-12 16:02:47.887163	Port	TCP	101	Fermé
2023-04-12 16:02:47.887276	Port	TCP	61	Fermé
2023-04-12 16:02:47.887667	Port	TCP	181	Fermé
2023-04-12 16:02:47.887704	Port	TCP	191	Fermé
2023-04-12 16:02:47.887734	Port	TCP	241	Fermé
2023-04-12 16:02:47.887771	Port	TCP	271	Fermé
2023-04-12 16:02:47.887803	Port	TCP	161	Fermé
2023-04-12 16:02:47.887823	Port	TCP	171	Fermé
2023-04-12 16:02:47.887841	Port	TCP	221	Fermé
2023-04-12 16:02:47.887858	Port	TCP	231	Fermé
2023-04-12 16:02:47.887872	Port	TCP	251	Fermé
2023-04-12 16:02:47.887894	Port	TCP	291	Fermé
2023-04-12 16:02:47.887911	Port	TCP	261	Fermé
2023-04-12 16:02:47.887939	Port	TCP	211	Fermé
2023-04-12 16:02:47.888663	Port	TCP	331	Fermé
2023-04-12 16:02:47.888682	Port	TCP	341	Fermé
2023-04-12 16:02:47.888722	Port	TCP	351	Fermé
2023-04-12 16:02:47.888750	Port	TCP	381	Fermé
2023-04-12 16:02:47.888769	Port	TCP	371	Fermé
2023-04-12 16:02:47.888797	Port	TCP	311	Fermé
2023-04-12 16:02:47.888817	Port	TCP	301	Fermé
2023-04-12 16:02:47.888839	Port	TCP	391	Fermé
2023-04-12 16:02:47.888857	Port	TCP	361	Fermé
2023-04-12 16:02:47.888871	Port	TCP	401	Fermé
2023-04-12 16:02:47.888892	Port	TCP	411	Fermé
2023-04-12 16:02:47.888950	Port	TCP	321	Fermé
2023-04-12 16:02:47.889026	Port	TCP	22	Ouvert
2023-04-12 16:02:47.889670	Port	TCP	421	Fermé
2023-04-12 16:02:47.889760	Port	TCP	501	Fermé
2023-04-12 16:02:47.889792	Port	TCP	481	Fermé
2023-04-12 16:02:47.889844	Port	TCP	541	Fermé
2023-04-12 16:02:47.889891	Port	TCP	551	Fermé
2023-04-12 16:02:47.889929	Port	TCP	431	Fermé
2023-04-12 16:02:47.889966	Port	TCP	491	Fermé
2023-04-12 16:02:47.889993	Port	TCP	511	Fermé
2023-04-12 16:02:47.890017	Port	TCP	521	Fermé
2023-04-12 16:02:47.890050	Port	TCP	441	Fermé
2023-04-12 16:02:47.890086	Port	TCP	451	Fermé
2023-04-12 16:02:47.890126	Port	TCP	471	Fermé
2023-04-12 16:02:47.890160	Port	TCP	531	Fermé
2023-04-12 16:02:47.890221	Port	TCP	461	Fermé
2023-04-12 16:02:47.890658	Port	TCP	581	Fermé
2023-04-12 16:02:47.890720	Port	TCP	561	Fermé
2023-04-12 16:02:47.908285	Port	TCP	1971	Fermé
2023-04-12 16:02:47.908333	Port	TCP	571	Fermé
2023-04-12 16:02:47.912882	Port	TCP	1311	Fermé
2023-04-12 16:02:47.912928	Port	TCP	621	Fermé
2023-04-12 16:02:47.912972	Port	TCP	601	Fermé
2023-04-12 16:02:47.913028	Port	TCP	841	Fermé
2023-04-12 16:02:47.913078	Port	TCP	1611	Fermé
2023-04-12 16:02:47.913118	Port	TCP	1341	Fermé
2023-04-12 16:02:47.913155	Port	TCP	881	Fermé
2023-04-12 16:02:47.913222	Port	TCP	1981	Fermé
2023-04-12 16:02:47.913675	Port	TCP	1511	Fermé
2023-04-12 16:02:47.913738	Port	TCP	1501	Fermé
2023-04-12 16:02:47.913768	Port	TCP	1441	Fermé
2023-04-12 16:02:47.913811	Port	TCP	1801	Fermé
2023-04-12 16:02:47.913852	Port	TCP	1961	Fermé
2023-04-12 16:02:47.913887	Port	TCP	1741	Fermé
2023-04-12 16:02:47.913923	Port	TCP	1651	Fermé
2023-04-12 16:02:47.913948	Port	TCP	1821	Fermé
2023-04-12 16:02:47.913972	Port	TCP	1841	Fermé
2023-04-12 16:02:47.913990	Port	TCP	781	Fermé
2023-04-12 16:02:47.914469	Port	TCP	1861	Fermé
2023-04-12 16:02:47.914594	Port	TCP	871	Fermé
2023-04-12 16:02:47.914618	Port	TCP	1521	Fermé
2023-04-12 16:02:47.914672	Port	TCP	1731	Fermé
2023-04-12 16:02:47.914720	Port	TCP	1301	Fermé
2023-04-12 16:02:47.914764	Port	TCP	771	Fermé
