Début du scan avec comme paramètres : 
Protocole : TCP		 Nom d'hôte : 127.0.0.1
Port de début : 1		 Timeout Max. socket : 2
Port de fin : 10234		 Execution parallèle : Non

2023-04-12 14:26:37.304564	Port 120	Fermé
2023-04-12 14:26:37.304603	Port 121	Fermé
2023-04-12 14:26:37.304648	Port 122	Fermé
2023-04-12 14:26:37.304692	Port 123	Fermé
2023-04-12 14:26:37.304732	Port 124	Fermé
2023-04-12 14:26:37.304771	Port 125	Fermé
2023-04-12 14:26:37.304810	Port 126	Fermé
2023-04-12 14:26:37.304849	Port 127	Fermé
2023-04-12 14:26:37.304888	Port 128	Fermé
2023-04-12 14:26:37.304927	Port 129	Fermé
2023-04-12 14:26:37.304965	Port 130	Fermé
2023-04-12 14:26:37.305008	Port 131	Fermé
2023-04-12 14:26:37.305047	Port 132	Fermé
2023-04-12 14:26:37.305086	Port 133	Fermé
2023-04-12 14:26:37.305124	Port 134	Fermé
2023-04-12 14:26:37.305163	Port 135	Fermé
2023-04-12 14:26:37.305213	Port 136	Fermé
2023-04-12 14:26:37.305263	Port 137	Fermé
2023-04-12 14:26:37.305324	Port 138	Fermé
2023-04-12 14:26:37.305385	Port 139	Fermé
2023-04-12 14:26:37.305439	Port 140	Fermé
2023-04-12 14:26:37.305489	Port 141	Fermé
2023-04-12 14:26:37.305538	Port 142	Fermé
2023-04-12 14:26:37.305587	Port 143	Fermé
2023-04-12 14:26:37.305646	Port 144	Fermé
2023-04-12 14:26:37.305686	Port 145	Fermé
2023-04-12 14:26:37.305721	Port 146	Fermé
2023-04-12 14:26:37.305755	Port 147	Fermé
2023-04-12 14:26:37.305788	Port 148	Fermé
2023-04-12 14:26:37.305823	Port 149	Fermé
2023-04-12 14:26:37.305857	Port 150	Fermé
2023-04-12 14:26:37.305891	Port 151	Fermé
2023-04-12 14:26:37.305924	Port 152	Fermé
2023-04-12 14:26:37.305959	Port 153	Fermé
2023-04-12 14:26:37.305993	Port 154	Fermé
2023-04-12 14:26:37.306028	Port 155	Fermé
2023-04-12 14:26:37.306063	Port 156	Fermé
2023-04-12 14:26:37.306096	Port 157	Fermé
2023-04-12 14:26:37.306130	Port 158	Fermé
2023-04-12 14:26:37.306165	Port 159	Fermé
2023-04-12 14:26:37.306199	Port 160	Fermé
2023-04-12 14:26:37.306233	Port 161	Fermé
2023-04-12 14:26:37.306267	Port 162	Fermé
2023-04-12 14:26:37.306301	Port 163	Fermé
2023-04-12 14:26:37.306334	Port 164	Fermé
2023-04-12 14:26:37.306369	Port 165	Fermé
2023-04-12 14:26:37.306402	Port 166	Fermé
2023-04-12 14:26:37.306435	Port 167	Fermé
2023-04-12 14:26:37.306469	Port 168	Fermé
2023-04-12 14:26:37.306504	Port 169	Fermé
2023-04-12 14:26:37.306537	Port 170	Fermé
2023-04-12 14:26:37.306571	Port 171	Fermé
2023-04-12 14:26:37.306605	Port 172	Fermé
2023-04-12 14:26:37.306644	Port 173	Fermé
2023-04-12 14:26:37.306680	Port 174	Fermé
2023-04-12 14:26:37.306715	Port 175	Fermé
2023-04-12 14:26:37.306751	Port 176	Fermé
2023-04-12 14:26:37.306785	Port 177	Fermé
2023-04-12 14:26:37.306819	Port 178	Fermé
2023-04-12 14:26:37.306853	Port 179	Fermé
2023-04-12 14:26:37.306887	Port 180	Fermé
2023-04-12 14:26:37.306921	Port 181	Fermé
2023-04-12 14:26:37.306955	Port 182	Fermé
2023-04-12 14:26:37.306989	Port 183	Fermé
2023-04-12 14:26:37.307023	Port 184	Fermé
2023-04-12 14:26:37.307057	Port 185	Fermé
2023-04-12 14:26:37.307093	Port 186	Fermé
2023-04-12 14:26:37.307126	Port 187	Fermé
2023-04-12 14:26:37.307159	Port 188	Fermé
2023-04-12 14:26:37.307193	Port 189	Fermé
2023-04-12 14:26:37.307226	Port 190	Fermé
2023-04-12 14:26:37.307259	Port 191	Fermé
2023-04-12 14:26:37.307292	Port 192	Fermé
2023-04-12 14:26:37.307325	Port 193	Fermé
2023-04-12 14:26:37.307359	Port 194	Fermé
2023-04-12 14:26:37.307393	Port 195	Fermé
2023-04-12 14:26:37.307428	Port 196	Fermé
2023-04-12 14:26:37.307461	Port 197	Fermé
2023-04-12 14:26:37.307495	Port 198	Fermé
2023-04-12 14:26:37.307528	Port 199	Fermé
2023-04-12 14:26:37.307562	Port 200	Fermé
2023-04-12 14:26:37.307604	Port 201	Fermé
2023-04-12 14:26:37.307653	Port 202	Fermé
2023-04-12 14:26:37.307693	Port 203	Fermé
2023-04-12 14:26:37.307730	Port 204	Fermé
2023-04-12 14:26:37.307766	Port 205	Fermé
2023-04-12 14:26:37.307799	Port 206	Fermé
2023-04-12 14:26:37.307833	Port 207	Fermé
2023-04-12 14:26:37.307866	Port 208	Fermé
2023-04-12 14:26:37.307899	Port 209	Fermé
2023-04-12 14:26:37.307932	Port 210	Fermé
2023-04-12 14:26:37.307965	Port 211	Fermé
2023-04-12 14:26:37.307999	Port 212	Fermé
2023-04-12 14:26:37.308032	Port 213	Fermé
2023-04-12 14:26:37.308065	Port 214	Fermé
2023-04-12 14:26:37.308098	Port 215	Fermé
2023-04-12 14:26:37.308131	Port 216	Fermé
2023-04-12 14:26:37.308165	Port 217	Fermé
2023-04-12 14:26:37.308202	Port 218	Fermé
2023-04-12 14:26:37.308236	Port 219	Fermé
