2023-04-12 14:15:04.486469	
Début du scan avec comme paramètre 
Protocole : TCP		 Nom d'hôte : 127.0.1.1
Port de début : 1		 Timeout Max. socket : 2
Port de fin : 1023		 Execution parallèle : Non

2023-04-12 14:15:04.489229	('Port 1', 'Fermé')
2023-04-12 14:15:04.489252	('Port 1', 'Fermé')
2023-04-12 14:15:04.489275	('Port 1', 'Fermé')
2023-04-12 14:15:04.489298	('Port 1', 'Fermé')
2023-04-12 14:15:04.489326	('Port 1', 'Fermé')
2023-04-12 14:15:04.489349	('Port 1', 'Fermé')
2023-04-12 14:15:04.489372	('Port 1', 'Fermé')
2023-04-12 14:15:04.489395	('Port 1', 'Fermé')
2023-04-12 14:15:04.489418	('Port 1', 'Fermé')
2023-04-12 14:15:04.489441	('Port 1', 'Fermé')
2023-04-12 14:15:04.489464	('Port 1', 'Fermé')
2023-04-12 14:15:04.489488	('Port 1', 'Fermé')
2023-04-12 14:15:04.489511	('Port 1', 'Fermé')
2023-04-12 14:15:04.489535	('Port 1', 'Fermé')
2023-04-12 14:15:04.489558	('Port 1', 'Fermé')
2023-04-12 14:15:04.489582	('Port 1', 'Fermé')
2023-04-12 14:15:04.489604	('Port 1', 'Fermé')
2023-04-12 14:15:04.489628	('Port 1', 'Fermé')
2023-04-12 14:15:04.489657	('Port 1', 'Fermé')
2023-04-12 14:15:04.489682	('Port 1', 'Fermé')
2023-04-12 14:15:04.489705	('Port 1', 'Fermé')
2023-04-12 14:15:04.489728	('Port 1', 'Fermé')
2023-04-12 14:15:04.489752	('Port 1', 'Fermé')
2023-04-12 14:15:04.489775	('Port 1', 'Fermé')
2023-04-12 14:15:04.489799	('Port 1', 'Fermé')
2023-04-12 14:15:04.489822	('Port 1', 'Fermé')
2023-04-12 14:15:04.489845	('Port 1', 'Fermé')
2023-04-12 14:15:04.489868	('Port 1', 'Fermé')
2023-04-12 14:15:04.489892	('Port 1', 'Fermé')
2023-04-12 14:15:04.489915	('Port 1', 'Fermé')
2023-04-12 14:15:04.489938	('Port 1', 'Fermé')
2023-04-12 14:15:04.489962	('Port 1', 'Fermé')
2023-04-12 14:15:04.489986	('Port 1', 'Fermé')
2023-04-12 14:15:04.490009	('Port 1', 'Fermé')
2023-04-12 14:15:04.490032	('Port 1', 'Fermé')
